word,rating,tag,photos,neighbours
conductor,4.26,concrete,"['8765733792_3ff3c1e811_c.jpg', '2588614137_2d79cf47d9_c.jpg', '247059552_28eeae2b12_c.jpg', '301264773_f908060a5f_c.jpg', '6824449416_0d99138eab_c.jpg', '376343675_016efe5b83_c.jpg', '53029244255_0e068c3bef_c.jpg', '2636720767_0d9d6384a0_c.jpg', '8928509630_fc16bc32ea_c.jpg']",
tear,4.56,concrete,"['2264148651_060c765591_c.jpg', '6575697257_9dcec721c8_c.jpg', '36562800532_7811e85bc6_c.jpg', '151358584_412d480d98_c.jpg', '4360571267_f36d7746ce_c.jpg', '2931364863_54e028c63b_c.jpg', '16452069429_c0eaeafdb0_c.jpg', '12718988184_b7ce0aa7f9_c.jpg']",
fisherwoman,4.71,concrete,"['38479145565_10205e3aa1_c.jpg', '46998218732_c83810ddf6_c.jpg', '2541381798_aea468d4cd_c.jpg', '28401199886_da0191880c_c.jpg', '52975086288_308e6a09f4_c.jpg', '7096686309_be58bff68a_c.jpg', '6815829730_b078b4f751_c.jpg', '4443755666_7736a06ddb_c.jpg', '13981733467_e977ccf272_c.jpg', '3353476896_06572a999f_c.jpg', '2739622660_b7a75a6746_c.jpg', '3270427100_5d996329f7_c.jpg']",
crown,4.81,concrete,"['9195944224_611dc4dc79_c.jpg', '51140698012_3efce89eff_c.jpg', '52357473601_8cec038935_c.jpg', '2046232566_a1999c2bf0_c.jpg', '6695179753_cacf9a55d3_c.jpg', '47936094837_ea0ab6d4c2_c.jpg', '48038618128_c72a81167b_c.jpg', '497564949_072cdf4db2_c.jpg', '3251106282_fd8dda9d9c_c.jpg', '7386415228_b5c784caca_c.jpg', '6145980729_8d6b2cfd3b_c.jpg']",
ovum,4.38,concrete,"['581858973_477d3b3414_c.jpg', '581858959_d65ee3c3c5_c.jpg', '18083701883_193cc9195c_c.jpg', '10934472125_ccbab95ef5_c.jpg', '47974896257_88295ca937_c.jpg', '8907077368_3048f4b4b2_c.jpg', '52770228739_180fa74e82_c.jpg', '53037944254_af9d123be7_c.jpg', '8906457577_7e4ba25109_c.jpg']",
rack,4.48,concrete,"['813904122_281af19998_c.jpg', '833236055_13cfa75a5f_c.jpg', '15601594935_6b81eb1649_c.jpg', '5553005506_8f0f1e5860_c.jpg', '2025955597_fee143ff0c_c.jpg', '3328094194_77f727ba84_c.jpg', '22530479257_d9cabf31bc_c.jpg', '7359857990_c5c35116db_c.jpg', '5762780662_3a433d9339_c.jpg', '75715936_8bc092bbee_c.jpg', '2372938894_bdf69cc64e_c.jpg']",
plexiglass,4.42,concrete,"['15602992045_fe98c1d82a_c.jpg', '14982843443_0772517086_c.jpg', '6743710571_32abe58305_c.jpg', '15603836542_5e909c5e59_c.jpg', '5255816798_4bfd9c6907_c.jpg', '14982847923_4c498c7c30_c.jpg', '15416360329_3abbfd4214_c.jpg', '5377494029_032a27a0d8_c.jpg', '15603833392_86f9a4d2f5_c.jpg', '15579321016_1b7429ae63_c.jpg', '15417403430_1549785c8a_c.jpg', '15602990615_691b85b7a6_c.jpg']",
roadway,4.67,concrete,"['13348569554_4e4faaf9e2_c.jpg', '13333171635_53af72ef9c_c.jpg', '6337822476_bcfd89a586_c.jpg', '3246616951_599a6ea517_c.jpg', '7183129935_c434554edf_c.jpg', '5148429332_2d72559439_c.jpg', '5928505_e4fc089103_c.jpg', '51276666698_c661836511_c.jpg', '3313579776_8459f92966_c.jpg', '51582529534_4d6a7607c2_c.jpg', '3601729531_77a3921f92_c.jpg', '48525160192_2302c2c29f_c.jpg']",
dresser,4.96,concrete,"['6493880761_31e7438867_c.jpg', '3817476021_808eb8a276_c.jpg', '5627268833_729a723043_c.jpg', '14453178096_9eb7be5f61_c.jpg', '3535168646_502a9ddc63_c.jpg', '4617963847_a2950cb3b5_c.jpg']",
gateway,4.07,concrete,"['4739005_6dfd05f6ec_c.jpg', '1362858470_9f24627bea_c.jpg', '49298014482_2476bb1aa5_c.jpg', '12806444805_4233a9d047_c.jpg', '50902003897_bab1b6f523_c.jpg', '8755090129_f662303982_c.jpg', '29677595397_b143937532_c.jpg', '52866053586_a2b611d93a_c.jpg', '48441697012_40ebf36cfe_c.jpg', '44683244092_1e6d37e2c5_c.jpg', '3305939869_ec803c9126_c.jpg']",
clerk,4.28,concrete,"['49564996251_6fc3d2f71f_c.jpg', '51963281569_32e733ffc9_c.jpg', '2371446965_6fd50d7581_c.jpg', '4953333688_a5b976f18f_c.jpg', '388972905_174c6e57c6_c.jpg', '4114228419_d7bf181a3a_c.jpg']",
parkland,4.04,concrete,"['12512521873_b96015b60a_c.jpg', '32260975418_ce88b2b333_c.jpg', '5784993262_9d46748afa_c.jpg', '3677911522_41f1efc38e_c.jpg', '1516571243_a91ea9a977_c.jpg', '52799442808_5597906941_c.jpg', '40992616811_2358bcc8cd_c.jpg', '51334417193_6bfbc0173d_c.jpg', '6257932145_9b07ece2ca_c.jpg', '38714621925_3f2f4bf3aa_c.jpg', '8650097654_d05148a2ca_c.jpg', '3782118305_74ba44ddc9_c.jpg']",
landslide,4.36,concrete,"['5775777734_fb81c551de_c.jpg', '5459865572_64001cdd7d_c.jpg', '5524131825_f60d5fcbeb_c.jpg', '2552063560_b9d97b1e4e_c.jpg', '246414839_153f637cfb_c.jpg', '4078252074_44bd8be969_c.jpg', '7044793847_deea4c81f2_c.jpg', '5726674697_9cd3fe71f8_c.jpg', '15684735_352e27bce6_c.jpg']",
foothill,4.38,concrete,"['22704193236_d674b1c65c_c.jpg', '23438587296_95ddc47faf_c.jpg', '14756856067_a32da4a36b_c.jpg', '28339062475_ccc05bd89f_c.jpg', '28712652700_36e3d48d96_c.jpg', '19440324279_78b82d2764_c.jpg', '8375011844_3247df233c_c.jpg', '28270971592_387c4fecdb_c.jpg', '29492593224_3a5d7d475b_c.jpg', '22080434353_7f84a88c0c_c.jpg', '31610447221_20491b5432_c.jpg', '21181655394_ef17a1284d_c.jpg']",
thread,4.83,concrete,"['49855577148_a85c9d76a5_c.jpg', '53031041925_85cf7555db_c.jpg', '24881507825_16c39a0bc1_c.jpg', '43670939204_a940c3f8fe_c.jpg', '25495113192_bde8621d3f_c.jpg', '8078726347_7a43210b55_c.jpg', '23881126952_7a6eb387c5_c.jpg', '51411647857_88578d20db_c.jpg', '44359876772_60f6fc4eac_c.jpg']",
cubicle,4.83,concrete,"['2831256981_5ce37eab99_c.jpg', '4164251472_5850e06585_c.jpg', '6838515291_0c0899e7b6_c.jpg', '4059290147_a4d9181e72_c.jpg', '3806866329_6e26cb5bcf_c.jpg', '6924020437_13edb06e8b_c.jpg', '499375882_004f6e9c07_c.jpg', '2432989812_8613851530_c.jpg', '99912255_d536f8bda6_c.jpg', '2299983049_7d68c3709f_c.jpg']",
massage,4.18,concrete,"['44086236532_80c8451f41_c.jpg', '45336748274_6c6d1a4f9e_c.jpg', '8293859233_1e450cf7a6_c.jpg', '41230915100_93e6ee00bf_c.jpg', '5559760089_08fe97001c_c.jpg', '50342639606_15eacf44c5_c.jpg', '35822762656_3c45a44773_c.jpg', '9234877623_494b762a4d_c.jpg', '36309512715_74da413c58_c.jpg']",
footwear,4.66,concrete,"['7471807058_7100b81a68_c.jpg', '7471803872_4157809bcf_c.jpg', '5024773111_ef18da0e4c_c.jpg', '7471808670_6f16208230_c.jpg', '7471805494_83d0e008c5_c.jpg', '7471803370_4b96cbfe73_c.jpg', '7471797942_8e01fb33f8_c.jpg']",
glass,4.82,concrete,"['9073755473_11ab5a4a20_c.jpg', '2245430643_a2e8092cef_c.jpg', '7213932154_4bf12ff9c1_c.jpg', '21031660743_1e48030ccc_c.jpg', '3152178745_34a6d2bbf0_c.jpg', '4125808313_d5330e6e2e_c.jpg', '5359459935_6e2ac35f2a_c.jpg', '7283590140_643dd40124_c.jpg', '226189244_f2f0cfb48c_c.jpg']",
