word,rating,tag,neighbours
effect,1.8,abstract,"['vapor', 'product', 'physical exertion']"
vigilantism,1.35,abstract,"['guard', 'watchdog', 'security guard']"
predominance,1.56,abstract,"['forelimb', 'caucasian', 'firstborn']"
inelegance,1.96,abstract,"['italics', 'inseam', 'incision']"
exhaustiveness,1.81,abstract,"['list', 'catalogue', 'document']"
spiritualize,1.54,abstract,"['cleric', 'clergy', 'congregation']"
decisiveness,1.9,abstract,"['stance', 'forepaw', 'chairperson']"
estimation,1.97,abstract,"['analyst', 'decimal', 'calculator']"
prequalification,1.89,abstract,"['side order', 'precipitate', 'parenthesis']"
misarrangement,2.0,abstract,"['separator', 'dividers', 'structure']"
characterization,1.81,abstract,"['structure', 'glossary', 'label']"
nonpartisanship,1.79,abstract,"['politician', 'lawmaker', 'senator']"
repent,1.96,abstract,"['refold', 'unshelled', 'reverend']"
callousness,1.93,abstract,"['calligraphy', 'whiskered', 'tigress']"
groundlessness,1.78,abstract,"['ground', 'grassless', 'ground level']"
verbalism,1.54,abstract,"['speaker', 'sign language', 'text']"
showery,2.0,abstract,"['shower', 'showerhead', 'shower gel']"
aestheticism,1.79,abstract,"['art', 'beautician', 'artwork']"
disallowance,1.96,abstract,"['dike', 'separator', 'barrier']"
privacy,1.5,abstract,"['private eye', 'secret police', 'enclosure']"
artistry,2.0,abstract,"['artist', 'art', 'artwork']"
comprehension,1.78,abstract,"['structure', 'glossary', 'audience']"
egocentrism,1.59,abstract,"['orphan', 'skinhead', 'antlered']"
deduce,1.61,abstract,"['formula', 'dike', 'decoy']"
crude,1.96,abstract,"['oil', 'petroleum', 'oilcan']"
precognition,1.96,abstract,"['forepaw', 'precipitate', 'forelimb']"
exclusivity,1.65,abstract,"['exterminator', 'exclamation mark', 'separator']"
proslavery,1.83,abstract,"['prong', 'software', 'prosthesis']"
expletory,1.58,abstract,"['exclamation mark', 'exterminator', 'excrement']"
individualism,1.88,abstract,"['separator', 'country', 'citizen']"
unwillingness,1.8,abstract,"['stance', 'frown', 'wince']"
corruptibility,1.5,abstract,"['thief', 'decoy', 'bandit']"
arduousness,1.74,abstract,"['homework', 'physical exertion', 'in labor']"
impatience,1.93,abstract,"['timetable', 'wrinkled', 'hissing']"
semiofficial,1.92,abstract,"['semicolon', 'mortician', 'unicyclist']"
activism,1.79,abstract,"['protestor', 'petition', 'picketer']"
rightfulness,1.85,abstract,"['proprietor', 'slaveholder', 'sole']"
inadequateness,1.65,abstract,"['limp', 'broken', 'whimper']"
causation,1.81,abstract,"['cauldron', 'precipitate', 'coitus']"
default,2.0,abstract,"['switch', 'toggle switch', 'guestlist']"
recurrent,1.93,abstract,"['refold', 'rectum', 'loop']"
disbelief,1.89,abstract,"['stare', 'gasp', 'blinked']"
antimilitary,1.7,abstract,"['guerrilla', 'armed services', 'fumigator']"
egregiousness,1.58,abstract,"['looter', 'trespasser', 'curser']"
sketchiness,1.44,abstract,"['sketch', 'sketchbook', 'sketch pad']"
allegoric,1.72,abstract,"['allspice', 'inscription', 'structure']"
forceless,1.68,abstract,"['forceps', 'engineless', 'scaleless']"
sorrowfulness,1.65,abstract,"['wept', 'crying', 'weeping']"
noncommunist,1.92,abstract,"['televangelist', 'citizen', 'unicyclist']"
cherishment,1.71,abstract,"['jeweled', 'cherry', 'tinsel']"
inexperience,1.83,abstract,"['inject', 'inseam', 'incubator']"
befuddlement,1.84,abstract,"['behead', 'goosebumps', 'beret']"
mystification,1.63,abstract,"['contusion', 'distiller', 'hermaphrodite']"
forwardness,1.81,abstract,"['stepping stone', 'eastward', 'stance']"
incongruity,1.7,abstract,"['incision', 'kaleidoscopic', 'redness']"
simplification,1.86,abstract,"['subbasement', 'shortening', 'plexiglass']"
unsentimental,1.92,abstract,"['unshaven', 'unshaved', 'whirlwind']"
